City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,San Cristobal,HN,2020-01-04 17:55:42,14.68,-86.92,79.61,53,100,8.41
70,Hobyo,SO,2020-01-04 17:55:42,5.35,48.53,78.37,78,9,14.52
71,Vardo,US,2020-01-04 17:55:42,39.62,-77.74,59.0,71,20,5.82
72,Cherskiy,RU,2020-01-04 17:55:42,68.75,161.3,-3.12,58,34,6.31
73,Honningsvag,NO,2020-01-04 17:55:43,70.98,25.97,25.43,75,100,34.36
74,Gladstone,AU,2020-01-04 17:55:43,-23.84,151.26,73.4,69,40,5.82
75,Kahului,US,2020-01-04 17:55:07,20.89,-156.47,73.4,78,40,13.87
76,Carnarvon,ZA,2020-01-04 17:55:43,-30.97,22.13,82.31,9,0,17.47
77,Georgetown,GY,2020-01-04 17:55:30,6.8,-58.16,87.8,66,20,11.41
78,Margate,AU,2020-01-04 17:55:44,-43.03,147.26,54.0,50,100,8.05
79,Jamestown,AU,2020-01-04 17:55:44,-33.21,138.6,57.9,40,100,16.44
80,Porgera,PG,2020-01-04 17:55:45,-5.46,143.15,53.64,98,100,1.25
81,Kapaa,US,2020-01-04 17:55:45,22.08,-159.32,73.4,88,90,17.22
82,Tutoia,BR,2020-01-04 17:55:45,-2.76,-42.27,84.2,83,40,10.29
83,Petatlan,MX,2020-01-04 17:55:46,17.52,-101.27,84.2,45,40,6.93
84,Novopskov,UA,2020-01-04 17:55:46,49.54,39.1,36.86,81,100,10.47
85,Hobart,AU,2020-01-04 17:53:04,-42.88,147.33,54.0,50,100,8.05
86,Jiayuguan,CN,2020-01-04 17:55:47,39.77,98.29,22.05,44,100,4.76
87,Cairns,AU,2020-01-04 17:52:32,-16.92,145.77,77.0,88,75,10.29
88,Norman Wells,CA,2020-01-04 17:55:47,65.28,-126.83,-20.2,75,75,5.82
89,Karpathos,GR,2020-01-04 17:55:47,35.51,27.21,57.2,62,20,18.34
90,Chemin Grenier,MU,2020-01-04 17:53:55,-20.49,57.47,79.0,94,75,3.36
91,Zambezi,ZM,2020-01-04 17:55:48,-13.55,23.12,68.43,94,100,4.81
92,Thompson,CA,2020-01-04 17:55:48,55.74,-97.86,-0.4,84,90,4.7
93,Provideniya,RU,2020-01-04 17:55:48,64.42,-173.23,-14.35,77,0,9.04
94,Pochutla,MX,2020-01-04 17:55:49,15.74,-96.47,87.01,35,40,5.82
95,Kuldur,RU,2020-01-04 17:55:49,49.22,131.63,-9.06,93,0,4.36
96,Castro,CL,2020-01-04 17:55:49,-42.48,-73.76,60.8,63,40,4.7
97,Port Alfred,ZA,2020-01-04 17:55:50,-33.59,26.89,73.0,98,93,9.24
98,Bubaque,GW,2020-01-04 17:55:50,11.28,-15.83,78.8,53,1,12.93
99,Kavieng,PG,2020-01-04 17:55:50,-2.57,150.8,84.88,68,46,3.87
100,Yangjiang,CN,2020-01-04 17:55:51,21.85,111.96,60.75,90,95,2.44
101,Le Port,FR,2020-01-04 17:55:51,42.87,1.37,48.0,89,38,3.56
102,Pisco,PE,2020-01-04 17:55:51,-13.71,-76.2,73.99,30,46,8.05
103,Manokwari,ID,2020-01-04 17:55:51,-0.87,134.08,74.1,84,100,2.8
104,Solano,CO,2020-01-04 17:55:52,0.7,-75.25,91.76,40,3,4.92
105,Tamiami,US,2020-01-04 17:53:14,25.76,-80.4,88.0,55,75,14.99
106,Lagoa,PT,2020-01-04 17:55:52,37.14,-8.45,59.0,71,0,4.7
107,Rawson,AR,2020-01-04 17:55:53,-43.3,-65.11,59.13,74,0,12.5
108,Omboue,GA,2020-01-04 17:55:53,-1.57,9.26,77.36,91,71,3.44
109,Satipo,PE,2020-01-04 17:55:54,-11.26,-74.64,70.65,88,99,2.42
110,San Pedro Del Parana,PY,2020-01-04 17:55:54,-26.83,-56.2,87.8,51,40,6.93
111,Khatanga,RU,2020-01-04 17:55:54,71.98,102.47,-17.07,85,27,6.2
112,Saldanha,PT,2020-01-04 17:55:55,41.42,-6.55,41.05,83,0,5.46
113,Tasiilaq,GL,2020-01-04 17:55:55,65.61,-37.64,24.8,92,100,14.99
114,Erdenet,MN,2020-01-04 17:55:55,49.03,104.04,6.26,80,100,4.09
